XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X X                          X     X
XXX                          XXXXXXX
X X                              X X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                  X
X                                 WX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
